epoch,train_loss,train_acc,test_loss,test_acc
0,5.646578436750161,0.02,5.056802923885392,0.08
1,4.409874071293025,0.22,3.99000573472231,0.24
2,3.251033899791359,0.47,3.27079758369383,0.42
3,2.337430177203596,0.68,2.6905777393545143,0.51
4,1.6000988966641838,0.83,2.2271981602343023,0.61
5,1.032312989850126,0.92,1.936570126431469,0.67
6,0.6400886686956159,0.96,1.6711813650994634,0.68
7,0.4067564978863526,0.98,1.4372202420921485,0.77
8,0.2508257803378909,0.99,1.3426414844921095,0.77
9,0.1681451242440691,0.99,1.2229423144226703,0.78
10,0.1218991829543334,0.99,1.1369272827120966,0.79
11,0.0883469275401395,0.99,1.103067243001098,0.8
12,0.0702712846045591,0.99,1.0602614577415057,0.81
13,0.0581674509758879,0.99,1.0282270499217658,0.81
14,0.0494604167221942,0.99,1.014664270161601,0.81
15,0.0426473473689169,0.99,1.000719022848969,0.81
16,0.0384141732686258,0.99,0.9767749049535994,0.81
17,0.0365332453934387,0.99,0.9900798314392812,0.81
18,0.0311000806991899,0.99,0.966617590704082,0.81
19,0.0281102045620729,0.99,0.9503359376648326,0.82
20,0.0265141452509501,0.99,0.9441393472530224,0.81
21,0.0246399295890545,0.99,0.9439005026110896,0.81
22,0.0225935532241087,0.99,0.928997932245702,0.82
23,0.0206376108297881,1.0,0.9165460965270368,0.82
24,0.0198259415677804,0.99,0.9148553059915456,0.82
25,0.0191652309110179,0.99,0.9089766121204989,0.82
26,0.0206009979155976,0.99,0.9041575318991892,0.82
27,0.0176826077971084,0.99,0.8997377860202711,0.82
28,0.0161446657310537,0.99,0.8955182764755846,0.82
29,0.0165228736260261,0.99,0.8963417643382225,0.82
