epoch,train_loss,train_acc,test_loss,test_acc
0,5.59139926347691,3.3035099793530627,4.9839019286326876,10.256410256410255
1,4.422379053631735,19.201651754989676,4.062758433513152,23.157051282051285
2,3.353552075093097,39.389768295480614,3.3009046652378182,39.90384615384615
3,2.4571406094134742,60.65611378756596,3.016789754231771,42.628205128205124
4,1.7915636053816062,75.06308786418904,2.388152519861857,56.330128205128204
5,1.2066394785014443,85.96008258774948,2.0070501474233775,62.580128205128204
6,0.8027316160118889,93.02592337692131,1.8291291029025347,66.50641025641025
7,0.5679614450111661,95.57237898600597,1.578790300931686,71.55448717948718
8,0.39190693852222686,97.61413168157834,1.5456125338872273,70.91346153846155
9,0.3010501726063656,98.44000917641661,1.3795500015601134,73.23717948717949
10,0.19611665529241035,99.47235604496444,1.2763597995806963,75.88141025641025
11,0.14384244804563914,99.51823812801102,1.1881730403655615,77.16346153846155
12,0.12108851054798274,99.56412021105758,1.2613192674441216,75.88141025641025
13,0.1274754737092968,99.47235604496444,1.107288161913554,80.12820512820514
14,0.07501281986244229,99.93117687543015,1.0054432856730926,81.08974358974359
15,0.06326389969092604,99.8623537508603,0.9720537952887707,82.53205128205127
16,0.059802936429782155,99.97705895847672,0.9714474616906582,81.97115384615384
17,0.03629892737350215,99.97705895847672,0.9246540130713047,82.7724358974359
18,0.031494161293139616,99.95411791695344,0.9296112381494962,83.09294871794873
19,0.04752604864720605,99.8623537508603,0.963767423079564,81.3301282051282
